protein 1,protein 2
1,960
2,961
3,962
4,963
5,964
6,965
7,966
8,967
9,968
10,969
11,970
12,971
13,972
14,973
15,974
16,975
17,976
18,977
19,978
20,979
21,980
22,981
23,982
24,983
25,984
26,985
27,986
28,987
29,988
30,989
31,990
32,991
33,992
34,993
35,994
36,990
37,995
38,996
39,997
40,998
41,999
42,1000
43,1001
44,994
45,1002
46,1003
47,1004
48,994
49,1005
50,1006
51,1007
52,990
53,1008
54,1009
55,1009
56,1010
57,1011
58,994
59,1012
60,1006
61,1013
62,1014
63,1015
64,1009
65,1016
66,994
67,1017
68,1018
69,1019
70,1020
71,1021
72,1022
73,1003
74,1003
75,991
76,1008
77,1023
78,1007
79,1024
80,1015
81,1025
82,1026
83,1015
84,1027
85,1028
86,1029
87,1030
88,1031
89,1032
90,1033
91,1034
92,977
93,1032
94,1035
95,1036
96,1037
97,1038
98,1039
99,977
100,1040
101,1041
102,1042
103,1043
104,1044
105,1045
106,1046
107,1047
108,1048
109,1047
110,1049
111,963
112,1050
113,1051
114,1052
115,1053
116,1054
117,1055
118,1056
119,1057
120,1045
121,1058
122,1047
123,1057
124,1059
125,1035
126,1039
127,1057
128,1060
129,1061
130,1062
131,1063
132,1045
133,1064
134,1065
135,1045
136,1048
137,1057
138,1066
139,1067
140,1068
141,1069
142,1070
143,1071
144,1047
145,1072
146,1059
147,1073
148,1047
149,1074
150,1075
151,1076
152,988
153,988
154,1077
155,1047
156,1078
157,1079
158,1048
159,1048
160,977
161,1079
162,1080
163,1045
164,1081
165,1082
166,1083
167,1084
168,1085
169,1086
170,1087
171,1088
172,1089
173,965
174,1090
175,1091
176,1092
177,1093
178,1094
179,1095
180,1096
181,1097
182,1049
183,1074
184,1098
185,1099
186,1100
187,1101
188,1102
189,1058
190,1103
191,1104
192,1105
193,1047
194,1106
195,1107
196,1108
197,1045
198,1050
199,1109
200,1110
201,1101
202,1111
203,964
204,1112
205,1113
206,965
207,1114
208,963
209,1049
210,1115
211,1116
212,1117
213,1118
214,1119
215,1120
216,1121
217,1121
218,1122
219,1120
220,1120
221,1123
222,1124
223,1125
224,1126
225,1127
226,1128
227,1129
228,1130
229,1131
230,1132
231,1133
232,1134
233,1135
234,1136
235,1137
236,1138
237,1139
238,1140
239,1141
240,1142
241,1143
242,1144
243,1145
244,1146
245,1147
246,1148
247,1149
248,1150
249,1151
250,1152
251,1153
252,1154
253,1155
254,1156
255,1157
256,1158
257,1159
258,1160
259,1161
260,1162
261,1163
262,1164
263,1165
264,1166
265,1167
266,1168
267,1169
268,1170
269,1171
270,1172
271,1173
272,1174
273,1175
274,1176
275,1177
276,1178
277,1179
278,1180
279,1181
280,1182
281,1183
282,1184
283,1185
284,1186
285,1187
286,1188
287,1189
288,1190
289,1191
290,1192
291,1193
292,1194
293,1195
294,1196
295,1197
296,1198
297,1199
298,1200
299,1201
300,1202
301,1203
302,1204
303,1179
304,1205
305,1206
306,1207
307,1208
308,1209
309,1210
310,1211
311,1212
312,1213
313,1214
314,1215
315,1216
316,1217
317,1218
318,1219
319,1220
320,1221
321,1222
322,1223
323,1160
324,1224
325,1225
326,1160
327,1226
328,1227
329,1228
330,1229
331,1230
332,1231
333,1232
334,1233
335,1234
336,1235
337,1192
338,1236
339,1161
340,1237
341,1238
342,1239
343,1175
344,1240
345,1241
346,1242
347,1243
348,1244
349,1245
350,1246
351,1247
352,1248
353,1249
354,1250
355,1251
356,1252
357,1253
358,1254
359,1255
360,1256
361,1257
362,1258
363,1214
364,1259
365,1260
366,1141
367,1261
368,1262
369,1263
370,1193
371,1264
372,1265
373,1266
374,1267
375,1268
376,1269
377,1241
378,1270
379,1271
380,1272
381,1273
382,1274
383,1275
384,1276
385,1277
386,1278
387,1279
388,1280
389,1281
390,1282
391,1283
392,1284
393,1223
394,1285
395,1193
396,1286
397,1287
398,1288
399,1289
400,1236
401,1290
402,1176
403,1291
404,1292
405,1293
406,1179
407,1294
408,1295
409,1154
410,1296
411,1179
412,1297
413,1264
414,1298
415,1299
416,1300
417,1301
418,1302
419,1303
420,1304
421,1305
422,1306
423,1307
424,1308
425,1179
426,1308
427,1309
428,1310
429,1311
430,1312
431,1313
432,1314
433,1315
434,1316
435,1317
436,1318
437,1319
438,1320
439,1321
440,1322
441,1323
442,1324
443,1325
444,1326
445,1327
446,1328
447,1329
448,1192
449,1330
450,1331
451,1332
452,1333
453,1334
454,1335
455,1336
456,1337
457,1179
458,1338
459,1214
460,1339
461,1340
462,1341
463,1342
464,1343
465,1344
466,1345
467,1346
468,1347
469,1348
470,1193
471,1349
472,1350
473,1351
474,1352
475,1353
476,1354
477,1355
478,1356
479,1357
480,1358
481,1359
482,1360
483,1361
484,1362
485,1363
486,1364
487,1365
488,1366
489,1193
490,1367
491,1368
492,1369
493,1189
494,1370
495,1371
496,1372
497,1193
498,1373
499,1374
500,1375
501,1150
502,1376
503,1377
504,1378
505,1379
506,1380
507,1381
508,1382
509,1383
510,1384
511,1385
512,1386
513,1217
514,1387
515,1193
516,1388
517,1389
518,1390
519,1391
520,1285
521,1392
522,1393
523,1160
524,1347
525,1394
526,1395
527,1396
528,1397
529,1398
530,1399
531,1400
532,1401
533,1402
534,1403
535,1223
536,1404
537,1405
538,1406
539,1407
