protein 1,protein 2
a1,c960
a2,c961
a3,c962
a4,c963
a5,c964
a6,c965
a7,c966
a8,c967
a9,c968
a10,c969
a11,c970
a12,c971
a13,c972
a14,c973
a15,c974
a16,c975
a17,c976
a18,c977
a19,c978
a20,c979
a21,c980
a22,c981
a23,c982
a24,c983
a25,c984
a26,c985
a27,c986
a28,c987
a29,c988
a30,c989
a31,c990
a32,c991
a33,c992
a34,c993
a35,c994
a36,c990
a37,c995
a38,c996
a39,c997
a40,c998
a41,c999
a42,c1000
a43,c1001
a44,c994
a45,c1002
a46,c1003
a47,c1004
a48,c994
a49,c1005
a50,c1006
a51,c1007
a52,c990
a53,c1008
a54,c1009
a55,c1009
a56,c1010
a57,c1011
a58,c994
a59,c1012
a60,c1006
a61,c1013
a62,c1014
a63,c1015
a64,c1009
a65,c1016
a66,c994
a67,c1017
a68,c1018
a69,c1019
a70,c1020
a71,c1021
a72,c1022
a73,c1003
a74,c1003
a75,c991
a76,c1008
a77,c1023
a78,c1007
a79,c1024
a80,c1015
a81,c1025
a82,c1026
a83,c1015
a84,c1027
a85,c1028
a86,c1029
a87,c1030
a88,c1031
a89,c1032
a90,c1033
a91,c1034
a92,c977
a93,c1032
a94,c1035
a95,c1036
a96,c1037
a97,c1038
a98,c1039
a99,c977
a100,c1040
a101,c1041
a102,c1042
a103,c1043
a104,c1044
a105,c1045
a106,c1046
a107,c1047
a108,c1048
a109,c1047
a110,c1049
a111,c963
a112,c1050
a113,c1051
a114,c1052
a115,c1053
a116,c1054
a117,c1055
a118,c1056
a119,c1057
a120,c1045
a121,c1058
a122,c1047
a123,c1057
a124,c1059
a125,c1035
a126,c1039
a127,c1057
a128,c1060
a129,c1061
a130,c1062
a131,c1063
a132,c1045
a133,c1064
a134,c1065
a135,c1045
a136,c1048
a137,c1057
a138,c1066
a139,c1067
a140,c1068
a141,c1069
a142,c1070
a143,c1071
a144,c1047
a145,c1072
a146,c1059
a147,c1073
a148,c1047
a149,c1074
a150,c1075
a151,c1076
a152,c988
a153,c988
a154,c1077
a155,c1047
a156,c1078
a157,c1079
